,Company,Country
0, Adidas AG ,Germany
1,Aquitex S.A. ,Portugal
2,Arc'teryx ,Canada
3,Burberry ,United Kingdom of Great Britain and Northern Ireland
4,Esprit ,Germany
5,Gap Inc. ,United States of America
6,Guess?,
7,Inc. ,United States of America
8,Hakro GmbH ,Germany
9,H&M group ,Sweden
10,Hugo Boss AG ,Germany
11,Inditex ,Spain
12,Kering Group  ,France
13,Lenzing AG ,Austria
14,Levi Strauss & Co ,United States of America
15,A. P. Møller-Mærsk A/S ,Denmark
16,Mammut sports Group AG ,Switzerland
17,Mantis World ,United Kingdom of Great Britain and Northern Ireland
18,Otto Group  ,Germany
19,Peak Performance Production AB ,Sweden
20,PVH Corp ,United States of America
21,PIDIGI S.P.A. ,Italy
22,PUMA SE ,Germany
23,Re:newcell AB ,Sweden
24,Salomon ,France
25,Schoeller Texti AG ,Switzerland
26,SKFK-Skunkfunk ,Spain
27,SLN Tekstil ve Moda San. Tic. A.Ş  ,Turkey
28,Stella McCartney ,United Kingdom of Great Britain and Northern Ireland
29,Sympatex Technologies GmbH ,Germany
30,Target Corporation ,United States of America
31,Tropic Knits Ltd ,Mauritius
32,Evea Eco Fashion ,Peru
33,LIMY Inc dba Reformation ,United States of America
34,DBL Group ,Bangladesh
35,Worn Again ,United Kingdom of Great Britain and Northern Ireland
36,BerBrand Srl ,Italy
37,Denim Expert  Limited ,Bangladesh
38,Textil Santanderina,
39,S.A. ,Spain
40,COFREET ,France
41,VF Corporation ,United States of America
42,GANNI ,Denmark
43,GANT AB ,Sweden
44,Regatta Group ,United Kingdom of Great Britain and Northern Ireland
45,New Balance Athletics,
46,Inc. ,United States of America
47,TINTEX Textiles,
48,S.A. ,Portugal
49,Vivida Lifestyle Ltd ,United Kingdom of Great Britain and Northern Ireland
50,NIKE,
51,Inc ,United States of America
52,The RealReal ,United States of America
53,Fenix Outdoor International AG ,Switzerland
54,Pattern SpA. ,Italy
55,DECATHLON ,France
56,Circular Systems SPC ,United States of America
57,Loomstate ,United States of America
58,G-Star RAW C.V. ,Netherlands
59,Hansoll Textile Ltd. ,Republic of Korea
60,KiK Textilien und Non-Food GmbH  ,Germany
61,John Smedley Ltd ,United Kingdom of Great Britain and Northern Ireland
62,Anko ,Australia
63,Target Australia ,Australia
64,Kmart Australia Limited ,Australia
65,ASICS Corporation ,Japan
66,El Corte Inglés,
67,SA. ,Spain
68,Farfetch ,United Kingdom of Great Britain and Northern Ireland
69,Lever Style Inc.  ,China
70,Hop Lun ,Hong Kong
71,China),
72,CAPRANEA SPORTS AG  ,Switzerland
73,Hong Kong Non-Woven Fabric Ind. Co. Ltd.  ,Hong Kong
74,China),
75,American & Efird ,HK
76,China),
77,Clover Group International Ltd ,Hong Kong
78,China),
79,Hanbo Enterprises Ltd. ,Hong Kong
80,China),
81,Pinneco Research Ltd. ,Hong Kong
82,China),
83,TAL Apparel Ltd. ,Hong Kong
84,China),
85,K-Boxing  ,China
86,Chenfeng Group Co.,
87,Ltd ,China
88,The Schneider Group ,Italy
89,RT Knits Ltd  ,Mauritius
90,The Renewal Workshop ,United States of America
91,ALDO Group  ,Canada
92,Lojas Renner ,Brazil
93,Ralph Lauren ,United States of America
94,Mulberry ,United Kingdom of Great Britain and Northern Ireland
95,Shokay ,China
96,Groupe Rossignol ,France
97,Elevate Textiles ,United States of America
98,Craghoppers Ltd ,United Kingdom of Great Britain and Northern Ireland
99,Reserva ,Brazil
100,American Eagle Outfitters ,United States of America
101,CHANEL ,France
102,Fast Retailing  ,Japan
103,Fossil Group  ,Hong Kong
104,China),
105,LT.BO srl ,Italy
106,YKK Corporation  ,Japan
107,Tendam Global Fashion Retail  ,Spain
108,Workout Empire ,Sweden
109,SunRise Group ,China
110,Tchibo GmbH ,Germany
111,Tom Tailor Group ,Germany
112,Sateri ,China
113,Asia Pacific Rayon ,Singapore
114,Lululemon ,Canada
115,R-Collective ,Hong Kong
116,Aigle ,France
117,Dai Wear ,United Kingdom
118,Artistic Milliners ,Pakistan
