,0
0,ADIDAS
1,AIGLE
2,ALDO GROUP
3,ASICS
4,AUCHAN RETAIL
5,BALLY
6,BESSON CHAUSSURES
7,BESTSELLER
8,BONAVERI
9,BURBERRY
10,CALZEDONIA GROUP
11,CAPRI HOLDINGS LIMITED
12,CARREFOUR
13,CHANEL
14,CHLOE
15,CELIO
16,DAMARTEX GROUP
17,DCM JENNYFER
18,DECATHLON
19,DESIGUAL
20,DIESEL
21,EL CORTE INGLES
22,ERALDA
23,ERMENEGILDO ZEGNA
24,EVERYBODY & EVERYONE
25,FARFETCH
26,FASHION3
27,FUNG GROUP
28,GANT
29,GROUPE GALERIES LAFAYETTE
30,GAP Inc.
31,GEOX
32,GROUPE BEAUMANOIR
33,GROUPE ERAM
34,GROUPE ETAM
35,GROUPE IDKIDS
36,GROUPE ROSSIGNOL
37,GRUPPO ARMANI
38,HANS BOODT MANNEQUINS
39,H&M GROUP
40,HERMES
41,HERNO
42,HOUSE OF BAUKJEN
43,INDITEX
44,KARL LAGERFELD
45,KERING
46,KIABI
47,LACOSTE
48,MANGO
49,MATCHESFASHION.COM
50,MONCLER
51,MONOPRIX
52,NIKE
53,NOABRANDS
54,NORDSTROM
55,PAUL & JOE
56,PRADA S.p.A.
57,PROMOD
58,PUMA SE
59,PVH Corp.
60,RALPH LAUREN
61,RUYI
62,SALVATORE FERRAGAMO
63,SELFRIDGES GROUP
64,STELLA MCCARTNEY
65,TAPESTRY
66,TENDAM
